design_a,design_b,cone,size_a,size_b,baseline_match,semantic_match,polarity_match
adder_4bit,adder_4bit_mut1,po_0,10,10,True,True,True
adder_4bit,adder_4bit_mut1,po_1,18,18,True,True,True
adder_4bit,adder_4bit_mut1,po_2,26,22,False,False,False
adder_4bit,adder_4bit_mut1,po_3,34,32,False,False,False
adder_4bit,adder_4bit_mut1,po_4,34,32,False,False,False
adder_4bit,adder_4bit_mut2,po_0,10,10,True,True,True
adder_4bit,adder_4bit_mut2,po_1,18,18,True,True,True
adder_4bit,adder_4bit_mut2,po_2,26,26,True,True,True
adder_4bit,adder_4bit_mut2,po_3,34,34,False,False,False
adder_4bit,adder_4bit_mut2,po_4,34,34,False,False,False
adder_4bit_O0,adder_4bit_O1,po_0,10,10,True,True,True
adder_4bit_O0,adder_4bit_O1,po_1,21,18,False,False,False
adder_4bit_O0,adder_4bit_O1,po_2,32,26,False,False,False
adder_4bit_O0,adder_4bit_O1,po_3,43,34,False,False,False
adder_4bit_O0,adder_4bit_O1,po_4,46,34,False,False,False
adder_4bit_O0,adder_4bit_O2,po_0,10,10,True,True,True
adder_4bit_O0,adder_4bit_O2,po_1,21,18,False,False,False
adder_4bit_O0,adder_4bit_O2,po_2,32,26,False,False,False
adder_4bit_O0,adder_4bit_O2,po_3,43,34,False,False,False
adder_4bit_O0,adder_4bit_O2,po_4,46,34,False,False,False
adder_4bit_O1,adder_4bit_O2,po_0,10,10,True,True,True
adder_4bit_O1,adder_4bit_O2,po_1,18,18,True,True,True
adder_4bit_O1,adder_4bit_O2,po_2,26,26,True,True,True
adder_4bit_O1,adder_4bit_O2,po_3,34,34,True,True,True
adder_4bit_O1,adder_4bit_O2,po_4,34,34,True,True,True
