design,cone_name,cone_nodes,cone_edges,cone_pi,cone_and,cone_depth
adder_16bit,po_0,10,13,3,6,5
adder_16bit,po_1,18,25,5,12,7
adder_16bit,po_2,26,37,7,18,9
adder_16bit,po_3,34,49,9,24,11
adder_16bit,po_4,42,61,11,30,13
adder_16bit,po_5,50,73,13,36,15
adder_16bit,po_6,58,85,15,42,17
adder_16bit,po_7,66,97,17,48,19
adder_16bit,po_8,74,109,19,54,21
adder_16bit,po_9,82,121,21,60,23
adder_16bit,po_10,90,133,23,66,25
adder_16bit,po_11,98,145,25,72,27
adder_16bit,po_12,106,157,27,78,29
adder_16bit,po_13,114,169,29,84,31
adder_16bit,po_14,122,181,31,90,33
adder_16bit,po_15,130,193,33,96,35
adder_16bit,po_16,130,193,33,96,33
adder_32bit,po_0,10,13,3,6,5
adder_32bit,po_1,18,25,5,12,7
adder_32bit,po_2,26,37,7,18,9
adder_32bit,po_3,34,49,9,24,11
adder_32bit,po_4,42,61,11,30,13
adder_32bit,po_5,50,73,13,36,15
adder_32bit,po_6,58,85,15,42,17
adder_32bit,po_7,66,97,17,48,19
adder_32bit,po_8,74,109,19,54,21
adder_32bit,po_9,82,121,21,60,23
adder_32bit,po_10,90,133,23,66,25
adder_32bit,po_11,98,145,25,72,27
adder_32bit,po_12,106,157,27,78,29
adder_32bit,po_13,114,169,29,84,31
adder_32bit,po_14,122,181,31,90,33
adder_32bit,po_15,130,193,33,96,35
adder_32bit,po_16,138,205,35,102,37
adder_32bit,po_17,146,217,37,108,39
adder_32bit,po_18,154,229,39,114,41
adder_32bit,po_19,162,241,41,120,43
adder_32bit,po_20,170,253,43,126,45
adder_32bit,po_21,178,265,45,132,47
adder_32bit,po_22,186,277,47,138,49
adder_32bit,po_23,194,289,49,144,51
adder_32bit,po_24,202,301,51,150,53
adder_32bit,po_25,210,313,53,156,55
adder_32bit,po_26,218,325,55,162,57
adder_32bit,po_27,226,337,57,168,59
adder_32bit,po_28,234,349,59,174,61
adder_32bit,po_29,242,361,61,180,63
adder_32bit,po_30,250,373,63,186,65
adder_32bit,po_31,258,385,65,192,67
adder_32bit,po_32,258,385,65,192,65
adder_4bit,po_0,10,13,3,6,5
adder_4bit,po_1,18,25,5,12,7
adder_4bit,po_2,26,37,7,18,9
adder_4bit,po_3,34,49,9,24,11
adder_4bit,po_4,34,49,9,24,9
adder_4bit_O0,po_0,10,13,3,6,5
adder_4bit_O0,po_1,21,31,5,15,6
adder_4bit_O0,po_2,32,49,7,24,9
adder_4bit_O0,po_3,43,67,9,33,12
adder_4bit_O0,po_4,46,73,9,36,13
adder_4bit_O1,po_0,10,13,3,6,5
adder_4bit_O1,po_1,18,25,5,12,7
adder_4bit_O1,po_2,26,37,7,18,9
adder_4bit_O1,po_3,34,49,9,24,11
adder_4bit_O1,po_4,34,49,9,24,9
adder_4bit_O2,po_0,10,13,3,6,5
adder_4bit_O2,po_1,18,25,5,12,7
adder_4bit_O2,po_2,26,37,7,18,9
adder_4bit_O2,po_3,34,49,9,24,11
adder_4bit_O2,po_4,34,49,9,24,9
adder_4bit_mut1,po_0,10,13,3,6,5
adder_4bit_mut1,po_1,18,25,5,12,7
adder_4bit_mut1,po_2,22,29,7,14,6
adder_4bit_mut1,po_3,32,45,9,22,11
adder_4bit_mut1,po_4,32,45,9,22,9
adder_4bit_mut2,po_0,10,13,3,6,5
adder_4bit_mut2,po_1,18,25,5,12,7
adder_4bit_mut2,po_2,26,37,7,18,9
adder_4bit_mut2,po_3,34,49,9,24,11
adder_4bit_mut2,po_4,34,49,9,24,9
adder_8bit,po_0,10,13,3,6,5
adder_8bit,po_1,18,25,5,12,7
adder_8bit,po_2,26,37,7,18,9
adder_8bit,po_3,34,49,9,24,11
adder_8bit,po_4,42,61,11,30,13
adder_8bit,po_5,50,73,13,36,15
adder_8bit,po_6,58,85,15,42,17
adder_8bit,po_7,66,97,17,48,19
adder_8bit,po_8,66,97,17,48,17
alu_simple,po_0,13,17,4,8,4
alu_simple,po_1,31,49,6,24,7
alu_simple,po_2,42,67,8,33,8
alu_simple,po_3,51,81,10,40,10
alu_simple,po_4,44,67,10,33,9
comparator_4bit,po_0,33,49,8,24,7
comparator_4bit,po_1,24,31,8,15,6
comparator_4bit,po_2,30,43,8,21,6
counter_4bit,po_0,6,7,2,3,3
counter_4bit,po_1,8,9,3,4,4
counter_4bit,po_2,10,11,4,5,5
counter_4bit,po_3,12,13,5,6,6
counter_4bit,po_4,10,9,5,4,5
mux_4to1,po_0,19,25,6,12,7
mux_4to1,po_1,19,25,6,12,7
mux_4to1,po_2,19,25,6,12,7
mux_4to1,po_3,19,25,6,12,7
